,well,lat,lon
246,15/3-5,6517057.34,433105.22
247,15/3-6,6515614.35,427951.24
248,15/3-7,6524002.59,428006.13
249,15/3-8,6525064.07,426237.2
250,15/3-9,6520872.03,429105.07
251,15/3-9 T2,6520872.03,429105.07
252,15/3-A-12,6523637.48,427511.53
253,15/3-A-12 T2,6523637.48,427511.53
254,15/3-A-13,6523631.7,427506.29
255,15/3-A-14,6523632.9,427508.4
256,15/3-A-16,6523635.29,427512.78
257,15/3-A-16 T2,6523635.29,427512.78
258,15/3-A-16 T3,6523635.29,427512.78
259,15/3-A-5,6523636.08,427503.81
260,15/3-A-5 A,6523636.08,427503.81
261,15/3-A-5 T2,6523636.08,427503.81
262,15/3-A-6,6523637.28,427505.92
263,15/3-A-6 T2,6523637.28,427505.92
264,15/3-A-7,6523639.41,427507.56
265,15/3-A-9,6523633.89,427505.05
266,15/3-A-9 T2,6523633.89,427505.05
267,15/3-U-1,6523658.91,427457.9
268,15/3-U-2,6523692.55,427511.61
269,15/3-U-3,6523607.58,427489.49
270,15/3-U-4,6523671.86,427542.49
271,15/3-U-5,6523562.2,427549.89
272,15/3-U-6,6520886.26,429105.17
273,15/3-U-7,6523640.47,427566.59
274,15/5-1,6494728.58,421641.42
275,15/5-2,6501352.42,419002.37
276,15/5-2 R,6501352.42,419002.37
277,15/5-2 T2,6501352.42,419002.37
278,15/5-2 T3,6501352.42,419002.37
279,15/5-3,6510938.12,421061.3
280,15/5-4,6501162.62,415972.22
281,15/5-5,6509552.03,421473.46
282,15/5-6,6507148.91,421814.27
283,15/5-7,6491564.7,421754.96
284,15/5-7 A,6491564.7,421754.96
285,15/5-7 AT2,6491564.7,421754.96
286,15/5-A-5 H,6508989.07,422282.06
287,15/5-A-7 AH,6509000.01,420699.94
288,15/5-A-7 H,6509000.01,420699.94
289,15/5-A-7 HT2,6509000.01,420699.94
290,15/5-A-7 HT3,6509000.01,420699.94
291,15/5-A-7 HT4,6509000.01,420699.94
292,15/5-A-7 HT5,6509000.01,420699.94
293,15/5-B-1 H,6511255.57,421411.55
294,15/6-1,6490472.46,423892.24
295,15/6-10,6505393.84,432599.85
296,15/6-11 A,6492945.84,424551.53
297,15/6-11 S,6492945.84,424551.53
298,15/6-12,6499707.84,426696.78
299,15/6-13,6498042.2,428039.23
300,15/6-13 A,6498042.2,428039.23
301,15/6-13 B,6498042.2,428039.23
302,15/6-14 S,6493284.8,424205.75
303,15/6-2,6490444.74,424236.03
304,15/6-2 R,6490444.74,424236.03
305,15/6-3,6485737.84,424879.96
306,15/6-4,6499198.96,430632.04
307,15/6-5,6486113.57,427983.66
308,15/6-6,6487517.21,427079.83
309,15/6-7,6495019.48,434420.13
310,15/6-8 A,6490561.26,434940.96
311,15/6-8 S,6490561.26,434940.96
312,15/6-9 A,6494914.51,426920.01
313,15/6-9 B,6494914.51,426920.01
314,15/6-9 S,6494914.51,426920.01
315,15/6-A-1 H,6509014.04,422844.98
316,15/6-A-2 AH,6508996.59,422851.39
317,15/6-A-2 H,6508996.59,422851.39
318,15/6-A-3 H,6509005.03,422847.05
319,15/6-A-4 AH,6508931.97,422848.98
320,15/6-A-4 H,6508931.97,422848.98
321,15/6-A-6 Y1H,6506895.09,423123.06
322,15/6-A-6 Y2H,6506895.09,423123.06
323,15/6-A-6 Y2HT2,6506895.09,423123.06
324,15/6-A-6 Y2HT3,6506895.09,423123.06
325,15/6-B-1,6493283.61,424203.63
326,15/6-B-1 A,6493283.61,424203.63
327,15/6-B-11,6493289.87,424200.03
328,15/6-B-11 T2,6493289.87,424200.03
329,15/6-B-11 T3,6493289.87,424200.03
330,15/6-B-11 T4,6493289.87,424200.03
331,15/6-B-11 T5,6493289.87,424200.03
332,15/6-B-12,6493280.42,424208.26
333,15/6-B-13,6493281.62,424210.38
334,15/6-B-14,6493293.76,424206.41
335,15/6-B-16,6493287.98,424201.29
336,15/6-B-16 T2,6493287.98,424201.29
337,15/6-B-17,6493289.18,424203.42
338,15/6-B-17 A,6493289.18,424203.42
339,15/6-B-17 T2,6493289.18,424203.42
340,15/6-B-18,6493290.38,424205.54
341,15/6-B-2,6493284.8,424205.75
342,15/6-B-2 A,6493284.8,424205.75
343,15/6-B-2 AT2,6493284.8,424205.75
344,15/6-B-3,6493296.64,424201.78
345,15/6-B-4,6493287.2,424210.0
346,15/6-B-6,6493292.06,424198.62
347,15/6-B-6 A,6493281.42,424204.88
348,15/6-B-6 AT2,6493281.42,424204.88
349,15/6-B-6 T2,6493292.06,424198.62
350,15/6-B-6 T3,6493292.06,424198.62
351,15/6-B-7,6493293.25,424200.91
352,15/6-B-8,6493283.81,424209.13
353,15/6-B-9,6493295.95,424205.16
354,15/6-U-1,6494845.9,426965.9
355,15/6-U-2,6483352.66,425296.14
356,15/6-U-3,6493318.88,424107.67
357,15/8-1,6470198.7,416499.09
358,15/8-2,6476013.73,415122.23
359,15/9-1,6482077.91,427277.67
360,15/9-1 T2,6482077.91,427277.67
361,15/9-10,6466097.13,428101.86
362,15/9-11,6474001.57,435410.76
363,15/9-12,6480390.26,425174.97
364,15/9-12 R,6480390.26,425174.97
365,15/9-13,6470978.02,437653.7
366,15/9-14,6461865.65,423258.77
367,15/9-15,6462994.43,436823.95
368,15/9-16,6470536.25,434400.89
369,15/9-17,6478951.28,438602.65
370,15/9-17 R,6478951.28,438602.65
371,15/9-18,6468508.49,429961.76
372,15/9-19 A,6477887.72,437506.71
373,15/9-19 B,6477887.72,437506.71
374,15/9-19 BT2,6477887.72,437506.71
375,15/9-19 S,6477887.72,437506.71
376,15/9-19 SR,6477887.72,437506.71
377,15/9-19 SR2,6477887.72,437506.71
378,15/9-2,6477027.07,424529.68
379,15/9-20 S,6470257.29,436165.07
380,15/9-21 S,6476103.15,425102.3
381,15/9-22,6468037.0,422842.96
382,15/9-22 T2,6468037.0,422842.96
383,15/9-23,6459999.91,433900.09
384,15/9-24,6459848.56,440297.52
385,15/9-3,6483722.0,423852.54
386,15/9-3 T2,6483722.0,423852.54
387,15/9-4,6474041.91,428999.05
388,15/9-5,6474503.53,424497.43
389,15/9-6,6480120.13,423668.06
390,15/9-7,6472135.59,424724.77
391,15/9-8,6472060.11,428335.92
392,15/9-9,6467984.08,435038.52
393,15/9-A-1,6470280.49,436127.09
394,15/9-A-10,6470279.77,436133.09
395,15/9-A-11,6470281.92,436133.94
396,15/9-A-12,6470284.07,436135.27
397,15/9-A-13,6470276.36,436133.52
398,15/9-A-13 A,6470276.36,436133.52
